season,unique,episode_title,lamp,outfits,thinking,violence,time,month,year,main_characters,conflict,involvement,possibility,fourth_wall,romance,music,watchability,set,holiday,products,rating,crossovers,guest,consumption,podcast,allusions,search,seconds,creatures,theme
1,WWP001,Crazy Ten-Minute Sale,0,1,0,1,24.36,10,0,6,1,6,0,0,0,6,1,5,0,0,6.9,0,4,0,1,1,"5,230",0.5,0,0
1,WWP002,First Kiss,0,1,0,0,24.39,10,0,6,1,4,0,0,1,5,1,5,0,1,7.3,0,4,0,1,0,"15,000",0.39,0,0
1,WWP003,I Almost Drowned in a Chocolate Fountain,0,1,0,1,24.39,10,0,6,1,4,0,0,1,7,1,6,0,0,7.1,0,7,9,1,0,"4,910",0.47,1,0
1,WWP004,New Employee,0,1,0,1,24.47,11,0,5,1,6,0,0,0,7,1,4,0,0,6.7,0,3,3,1,0,"10,300",0.57,0,0
1,WWP005,Disenchanted Evening,0,1,0,0,24.34,11,0,5,1,5,0,0,0,4,1,6,0,1,6.9,0,3,5,1,0,"6,330",0.5,0,0
1,WWP006,You Can't Always Get What You Carpet,0,1,0,0,24.15,11,0,5,1,3,0,0,0,4,1,3,0,0,6.8,0,0,0,1,1,"2,230",0.39,0,0
1,WWP007,Alex's Choice,0,1,0,1,24.46,11,0,5,1,5,0,0,0,7,1,7,0,0,6.9,0,7,0,0,0,"5,380",0.61,1,0
1,WWP008,Curb Your Dragon,0,1,0,0,23.58,11,0,5,1,3,0,0,0,3,1,4,0,0,6.5,0,2,0,0,0,"5,660",0.5,1,0
1,WWP009,Movies,0,1,0,1,24.48,12,0,5,1,2,0,0,0,10,1,6,0,0,7.2,0,7,0,0,0,"5,900,000",0.39,0,0
1,WWP010,Pop Me and We Both Go Down,0,1,0,1,24.31,1,1,5,1,2,0,0,1,6,1,4,0,0,6.5,0,5,0,0,0,"2,330",0.3,1,0
1,WWP011,Potion Commotion,0,1,0,1,24.28,2,1,5,1,2,0,0,1,5,1,5,0,0,6.8,0,6,4,1,0,"2,750",0.38,0,0
1,WWP012,Justin's Little Sister,0,1,0,1,24.46,3,1,6,2,2,0,0,0,4,1,5,0,0,7.3,0,5,0,1,0,"2,950",0.37,0,0
1,WWP013,"Wizard School, Part 1",0,1,0,1,24.47,4,1,5,2,2,0,0,0,6,1,6,0,0,7.2,0,4,1,1,1,"1,340",0.3,1,0
1,WWP014,"Wizard School, Part 2",0,1,0,1,24.52,4,1,5,2,2,0,0,0,6,0,5,0,0,7.1,0,8,0,1,0,"1,500",0.29,1,0
1,WWP015,The Supernatural,0,1,0,0,24.37,5,1,6,1,3,0,0,1,7,1,4,0,0,7,0,7,1,1,0,"12,100",0.3,0,0
1,WWP016,Alex In The Middle,0,1,0,0,24.31,6,1,5,1,3,0,0,0,6,1,4,0,0,6.8,0,3,0,1,0,"4,170",0.33,1,0
1,WWP017,Report Card,0,1,0,1,24.43,6,1,6,1,4,0,0,0,5,1,3,0,0,6.9,0,5,1,1,0,"6,300",0.28,0,0
1,WWP018,Credit Check,0,1,0,0,24.51,7,1,6,1,1,0,0,1,8,1,5,0,0,6.9,0,9,0,1,0,"4,550",0.41,0,0
1,WWP019,Alex's Spring Fling,0,0,0,1,24.46,7,1,4,1,2,0,0,1,7,1,3,0,0,6.9,0,4,1,1,1,"2,010",0.49,1,0
1,WWP020,Quinceanera,0,1,0,0,24.36,8,1,6,1,4,0,0,0,10,1,6,0,0,7.5,0,3,3,1,0,"24,400",0.82,0,0
1,WWP021,Art Museum Piece,0,1,0,0,24.49,8,1,6,1,4,0,0,0,5,1,5,0,0,7.2,0,7,3,1,4,"5,350",0.36,1,0
2,WWP022,Smarty Pants,0,1,0,1,24.26,9,1,5,1,3,0,0,1,8,1,5,0,0,6.9,0,7,1,0,0,"3,420",0.31,0,0
2,WWP023,Beware Wolf,0,1,0,1,24.29,9,1,5,1,3,0,0,1,6,1,4,0,0,6.6,0,4,2,1,0,"6,270",0.38,1,0
2,WWP024,Graphic Novel,0,1,0,1,24.18,10,1,4,1,3,0,0,1,6,0,4,0,0,6.7,0,8,0,0,0,"18,800",0.38,1,0
2,WWP025,Racing,0,1,2,0,24.21,10,1,6,1,1,0,0,1,5,1,7,0,0,6.9,0,1,0,1,1,"84,900",0.28,0,0
2,WWP026,Alex's Brother Maximan,0,1,0,1,24.14,10,1,6,1,5,0,0,1,9,1,6,0,0,6.7,0,3,0,1,0,"5,520",0.35,0,0
2,WWP027,"Saving Wiz Tech, Part 1",0,1,0,1,24.37,10,1,6,2,3,0,0,1,7,0,5,0,0,7.1,0,9,0,1,0,"1,650",0.38,1,0
2,WWP028,"Saving Wiz Tech, Part 2",0,1,0,1,23.48,10,1,3,2,2,0,1,1,9,0,6,0,0,7,0,5,0,0,0,"1,720",0.23,1,0
2,WWP029,Harper Knows,0,1,0,0,24.44,11,1,6,2,3,0,0,0,4,0,4,0,0,7.5,0,4,2,1,2,"3,790",0.3,1,0
2,WWP030,Taxi Dance,0,1,0,0,24.4,12,1,6,1,3,0,0,0,7,1,5,0,0,6.8,0,2,5,1,0,"6,060",0.35,1,0
2,WWP031,Baby Cupid,2,1,0,1,24.26,12,1,6,1,6,0,0,1,4,1,6,0,0,6.8,0,2,3,1,1,"2,520",0.38,1,0
2,WWP032,Make It Happen,0,1,0,0,24.14,12,1,5,1,3,0,0,0,5,1,5,0,0,7.3,0,5,0,1,0,"10,900",0.28,1,0
2,WWP033,Fairy Tale,0,1,0,0,24.13,1,2,6,1,3,0,0,0,6,1,5,0,0,6.7,0,2,1,1,1,"30,100",0.27,1,0
2,WWP034,Fashion Week,1,1,0,1,24.12,2,2,4,1,3,0,0,0,3,1,6,0,0,7,0,1,3,1,3,"119,000",0.4,0,0
